sample_id,scenario_id,heading_deg,label,p
flat_control_rot7_forward_0_0,flat_control,315,1,0.95
flat_control_rot7_forward_0_1,flat_control,315,1,0.95
flat_control_rot7_forward_0_2,flat_control,315,1,0.95
flat_control_rot7_forward_1_0,flat_control,315,1,0.95
flat_control_rot7_reverse_0_0,flat_control,135,1,0.95
flat_control_rot7_reverse_0_1,flat_control,135,1,0.95
flat_control_rot7_reverse_0_2,flat_control,135,1,0.95
flat_control_rot7_reverse_1_0,flat_control,135,1,0.95
directional_ramp_rot0_forward_0_0,directional_ramp,0,1,0.95
directional_ramp_rot0_forward_0_1,directional_ramp,0,0,0.04
directional_ramp_rot0_forward_0_2,directional_ramp,0,1,0.95
directional_ramp_rot0_forward_1_0,directional_ramp,0,1,0.95
directional_ramp_rot0_reverse_0_0,directional_ramp,180,1,0.95
directional_ramp_rot0_reverse_0_1,directional_ramp,180,1,0.85
directional_ramp_rot0_reverse_0_2,directional_ramp,180,1,0.95
directional_ramp_rot0_reverse_1_0,directional_ramp,180,1,0.95
directional_ramp_rot1_forward_0_0,directional_ramp,45,1,0.95
directional_ramp_rot1_forward_0_1,directional_ramp,45,0,0.04
directional_ramp_rot1_forward_0_2,directional_ramp,45,1,0.95
directional_ramp_rot1_forward_1_0,directional_ramp,45,1,0.95
directional_ramp_rot1_reverse_0_0,directional_ramp,225,1,0.95
directional_ramp_rot1_reverse_0_1,directional_ramp,225,1,0.85
directional_ramp_rot1_reverse_0_2,directional_ramp,225,1,0.95
directional_ramp_rot1_reverse_1_0,directional_ramp,225,1,0.95
directional_ramp_rot2_forward_0_0,directional_ramp,90,1,0.95
directional_ramp_rot2_forward_0_1,directional_ramp,90,0,0.04
directional_ramp_rot2_forward_0_2,directional_ramp,90,1,0.95
directional_ramp_rot2_forward_1_0,directional_ramp,90,1,0.95
directional_ramp_rot2_reverse_0_0,directional_ramp,270,1,0.95
directional_ramp_rot2_reverse_0_1,directional_ramp,270,1,0.85
directional_ramp_rot2_reverse_0_2,directional_ramp,270,1,0.95
directional_ramp_rot2_reverse_1_0,directional_ramp,270,1,0.95
directional_ramp_rot3_forward_0_0,directional_ramp,135,1,0.95
directional_ramp_rot3_forward_0_1,directional_ramp,135,0,0.04
directional_ramp_rot3_forward_0_2,directional_ramp,135,1,0.95
directional_ramp_rot3_forward_1_0,directional_ramp,135,1,0.95
directional_ramp_rot3_reverse_0_0,directional_ramp,315,1,0.95
directional_ramp_rot3_reverse_0_1,directional_ramp,315,1,0.85
directional_ramp_rot3_reverse_0_2,directional_ramp,315,1,0.95
directional_ramp_rot3_reverse_1_0,directional_ramp,315,1,0.95
directional_ramp_rot4_forward_0_0,directional_ramp,180,1,0.95
directional_ramp_rot4_forward_0_1,directional_ramp,180,0,0.04
directional_ramp_rot4_forward_0_2,directional_ramp,180,1,0.95
directional_ramp_rot4_forward_1_0,directional_ramp,180,1,0.95
directional_ramp_rot4_reverse_0_0,directional_ramp,0,1,0.95
directional_ramp_rot4_reverse_0_1,directional_ramp,0,1,0.85
directional_ramp_rot4_reverse_0_2,directional_ramp,0,1,0.95
directional_ramp_rot4_reverse_1_0,directional_ramp,0,1,0.95
directional_ramp_rot5_forward_0_0,directional_ramp,225,1,0.95
directional_ramp_rot5_forward_0_1,directional_ramp,225,0,0.04
directional_ramp_rot5_forward_0_2,directional_ramp,225,1,0.95
directional_ramp_rot5_forward_1_0,directional_ramp,225,1,0.95
directional_ramp_rot5_reverse_0_0,directional_ramp,45,1,0.95
directional_ramp_rot5_reverse_0_1,directional_ramp,45,1,0.85
directional_ramp_rot5_reverse_0_2,directional_ramp,45,1,0.95
directional_ramp_rot5_reverse_1_0,directional_ramp,45,1,0.95
directional_ramp_rot6_forward_0_0,directional_ramp,270,1,0.95
directional_ramp_rot6_forward_0_1,directional_ramp,270,0,0.04
directional_ramp_rot6_forward_0_2,directional_ramp,270,1,0.95
directional_ramp_rot6_forward_1_0,directional_ramp,270,1,0.95
directional_ramp_rot6_reverse_0_0,directional_ramp,90,1,0.95
directional_ramp_rot6_reverse_0_1,directional_ramp,90,1,0.85
directional_ramp_rot6_reverse_0_2,directional_ramp,90,1,0.95
directional_ramp_rot6_reverse_1_0,directional_ramp,90,1,0.95
directional_ramp_rot7_forward_0_0,directional_ramp,315,1,0.95
directional_ramp_rot7_forward_0_1,directional_ramp,315,0,0.04
directional_ramp_rot7_forward_0_2,directional_ramp,315,1,0.95
directional_ramp_rot7_forward_1_0,directional_ramp,315,1,0.95
directional_ramp_rot7_reverse_0_0,directional_ramp,135,1,0.95
directional_ramp_rot7_reverse_0_1,directional_ramp,135,1,0.85
directional_ramp_rot7_reverse_0_2,directional_ramp,135,1,0.95
directional_ramp_rot7_reverse_1_0,directional_ramp,135,1,0.95
cross_slope_rot0_forward_0_0,cross_slope,0,1,0.95
cross_slope_rot0_forward_0_1,cross_slope,0,0,0.05
cross_slope_rot0_forward_0_2,cross_slope,0,1,0.95
cross_slope_rot0_forward_1_0,cross_slope,0,1,0.95
cross_slope_rot0_reverse_0_0,cross_slope,180,1,0.95
cross_slope_rot0_reverse_0_1,cross_slope,180,0,0.05
cross_slope_rot0_reverse_0_2,cross_slope,180,1,0.95
cross_slope_rot0_reverse_1_0,cross_slope,180,1,0.95
cross_slope_rot1_forward_0_0,cross_slope,45,1,0.95
cross_slope_rot1_forward_0_1,cross_slope,45,0,0.05
cross_slope_rot1_forward_0_2,cross_slope,45,1,0.95
cross_slope_rot1_forward_1_0,cross_slope,45,1,0.95
cross_slope_rot1_reverse_0_0,cross_slope,225,1,0.95
cross_slope_rot1_reverse_0_1,cross_slope,225,0,0.05
cross_slope_rot1_reverse_0_2,cross_slope,225,1,0.95
cross_slope_rot1_reverse_1_0,cross_slope,225,1,0.95
cross_slope_rot2_forward_0_0,cross_slope,90,1,0.95
cross_slope_rot2_forward_0_1,cross_slope,90,0,0.05
cross_slope_rot2_forward_0_2,cross_slope,90,1,0.95
cross_slope_rot2_forward_1_0,cross_slope,90,1,0.95
cross_slope_rot2_reverse_0_0,cross_slope,270,1,0.95
cross_slope_rot2_reverse_0_1,cross_slope,270,0,0.05
cross_slope_rot2_reverse_0_2,cross_slope,270,1,0.95
cross_slope_rot2_reverse_1_0,cross_slope,270,1,0.95
cross_slope_rot3_forward_0_0,cross_slope,135,1,0.95
cross_slope_rot3_forward_0_1,cross_slope,135,0,0.05
cross_slope_rot3_forward_0_2,cross_slope,135,1,0.95
cross_slope_rot3_forward_1_0,cross_slope,135,1,0.95
cross_slope_rot3_reverse_0_0,cross_slope,315,1,0.95
cross_slope_rot3_reverse_0_1,cross_slope,315,0,0.05
cross_slope_rot3_reverse_0_2,cross_slope,315,1,0.95
cross_slope_rot3_reverse_1_0,cross_slope,315,1,0.95
cross_slope_rot4_forward_0_0,cross_slope,180,1,0.95
cross_slope_rot4_forward_0_1,cross_slope,180,0,0.05
cross_slope_rot4_forward_0_2,cross_slope,180,1,0.95
cross_slope_rot4_forward_1_0,cross_slope,180,1,0.95
cross_slope_rot4_reverse_0_0,cross_slope,0,1,0.95
cross_slope_rot4_reverse_0_1,cross_slope,0,0,0.05
cross_slope_rot4_reverse_0_2,cross_slope,0,1,0.95
cross_slope_rot4_reverse_1_0,cross_slope,0,1,0.95
cross_slope_rot5_forward_0_0,cross_slope,225,1,0.95
cross_slope_rot5_forward_0_1,cross_slope,225,0,0.05
cross_slope_rot5_forward_0_2,cross_slope,225,1,0.95
cross_slope_rot5_forward_1_0,cross_slope,225,1,0.95
cross_slope_rot5_reverse_0_0,cross_slope,45,1,0.95
cross_slope_rot5_reverse_0_1,cross_slope,45,0,0.05
cross_slope_rot5_reverse_0_2,cross_slope,45,1,0.95
cross_slope_rot5_reverse_1_0,cross_slope,45,1,0.95
cross_slope_rot6_forward_0_0,cross_slope,270,1,0.95
cross_slope_rot6_forward_0_1,cross_slope,270,0,0.05
cross_slope_rot6_forward_0_2,cross_slope,270,1,0.95
cross_slope_rot6_forward_1_0,cross_slope,270,1,0.95
cross_slope_rot6_reverse_0_0,cross_slope,90,1,0.95
cross_slope_rot6_reverse_0_1,cross_slope,90,0,0.05
cross_slope_rot6_reverse_0_2,cross_slope,90,1,0.95
cross_slope_rot6_reverse_1_0,cross_slope,90,1,0.95
cross_slope_rot7_forward_0_0,cross_slope,315,1,0.95
cross_slope_rot7_forward_0_1,cross_slope,315,0,0.05
cross_slope_rot7_forward_0_2,cross_slope,315,1,0.95
cross_slope_rot7_forward_1_0,cross_slope,315,1,0.95
cross_slope_rot7_reverse_0_0,cross_slope,135,1,0.95
cross_slope_rot7_reverse_0_1,cross_slope,135,0,0.05
cross_slope_rot7_reverse_0_2,cross_slope,135,1,0.95
cross_slope_rot7_reverse_1_0,cross_slope,135,1,0.95
high_step_rot0_forward_0_0,high_step,0,1,0.95
high_step_rot0_forward_0_1,high_step,0,0,0.02
high_step_rot0_forward_0_2,high_step,0,1,0.95
high_step_rot0_forward_1_0,high_step,0,1,0.95
high_step_rot0_reverse_0_0,high_step,180,1,0.95
high_step_rot0_reverse_0_1,high_step,180,0,0.02
high_step_rot0_reverse_0_2,high_step,180,1,0.95
high_step_rot0_reverse_1_0,high_step,180,1,0.95
high_step_rot1_forward_0_0,high_step,45,1,0.95
high_step_rot1_forward_0_1,high_step,45,0,0.02
high_step_rot1_forward_0_2,high_step,45,1,0.95
high_step_rot1_forward_1_0,high_step,45,1,0.95
high_step_rot1_reverse_0_0,high_step,225,1,0.95
high_step_rot1_reverse_0_1,high_step,225,0,0.02
high_step_rot1_reverse_0_2,high_step,225,1,0.95
high_step_rot1_reverse_1_0,high_step,225,1,0.95
high_step_rot2_forward_0_0,high_step,90,1,0.95
high_step_rot2_forward_0_1,high_step,90,0,0.02
high_step_rot2_forward_0_2,high_step,90,1,0.95
high_step_rot2_forward_1_0,high_step,90,1,0.95
high_step_rot2_reverse_0_0,high_step,270,1,0.95
high_step_rot2_reverse_0_1,high_step,270,0,0.02
high_step_rot2_reverse_0_2,high_step,270,1,0.95
high_step_rot2_reverse_1_0,high_step,270,1,0.95
high_step_rot3_forward_0_0,high_step,135,1,0.95
high_step_rot3_forward_0_1,high_step,135,0,0.02
high_step_rot3_forward_0_2,high_step,135,1,0.95
high_step_rot3_forward_1_0,high_step,135,1,0.95
high_step_rot3_reverse_0_0,high_step,315,1,0.95
high_step_rot3_reverse_0_1,high_step,315,0,0.02
high_step_rot3_reverse_0_2,high_step,315,1,0.95
high_step_rot3_reverse_1_0,high_step,315,1,0.95
high_step_rot4_forward_0_0,high_step,180,1,0.95
high_step_rot4_forward_0_1,high_step,180,0,0.02
high_step_rot4_forward_0_2,high_step,180,1,0.95
high_step_rot4_forward_1_0,high_step,180,1,0.95
high_step_rot4_reverse_0_0,high_step,0,1,0.95
high_step_rot4_reverse_0_1,high_step,0,0,0.02
high_step_rot4_reverse_0_2,high_step,0,1,0.95
high_step_rot4_reverse_1_0,high_step,0,1,0.95
high_step_rot5_forward_0_0,high_step,225,1,0.95
high_step_rot5_forward_0_1,high_step,225,0,0.02
high_step_rot5_forward_0_2,high_step,225,1,0.95
high_step_rot5_forward_1_0,high_step,225,1,0.95
high_step_rot5_reverse_0_0,high_step,45,1,0.95
high_step_rot5_reverse_0_1,high_step,45,0,0.02
high_step_rot5_reverse_0_2,high_step,45,1,0.95
high_step_rot5_reverse_1_0,high_step,45,1,0.95
high_step_rot6_forward_0_0,high_step,270,1,0.95
high_step_rot6_forward_0_1,high_step,270,0,0.02
high_step_rot6_forward_0_2,high_step,270,1,0.95
high_step_rot6_forward_1_0,high_step,270,1,0.95
high_step_rot6_reverse_0_0,high_step,90,1,0.95
high_step_rot6_reverse_0_1,high_step,90,0,0.02
high_step_rot6_reverse_0_2,high_step,90,1,0.95
high_step_rot6_reverse_1_0,high_step,90,1,0.95
high_step_rot7_forward_0_0,high_step,315,1,0.95
high_step_rot7_forward_0_1,high_step,315,0,0.02
high_step_rot7_forward_0_2,high_step,315,1,0.95
high_step_rot7_forward_1_0,high_step,315,1,0.95
high_step_rot7_reverse_0_0,high_step,135,1,0.95
high_step_rot7_reverse_0_1,high_step,135,0,0.02
high_step_rot7_reverse_0_2,high_step,135,1,0.95
high_step_rot7_reverse_1_0,high_step,135,1,0.95
rough_ground_rot0_forward_0_0,rough_ground,0,1,0.95
rough_ground_rot0_forward_0_1,rough_ground,0,0,0.07
rough_ground_rot0_forward_0_2,rough_ground,0,1,0.95
rough_ground_rot0_forward_1_0,rough_ground,0,1,0.95
rough_ground_rot0_reverse_0_0,rough_ground,180,1,0.95
rough_ground_rot0_reverse_0_1,rough_ground,180,0,0.07
rough_ground_rot0_reverse_0_2,rough_ground,180,1,0.95
rough_ground_rot0_reverse_1_0,rough_ground,180,1,0.95
rough_ground_rot1_forward_0_0,rough_ground,45,1,0.95
rough_ground_rot1_forward_0_1,rough_ground,45,0,0.07
rough_ground_rot1_forward_0_2,rough_ground,45,1,0.95
rough_ground_rot1_forward_1_0,rough_ground,45,1,0.95
rough_ground_rot1_reverse_0_0,rough_ground,225,1,0.95
rough_ground_rot1_reverse_0_1,rough_ground,225,0,0.07
rough_ground_rot1_reverse_0_2,rough_ground,225,1,0.95
rough_ground_rot1_reverse_1_0,rough_ground,225,1,0.95
rough_ground_rot2_forward_0_0,rough_ground,90,1,0.95
rough_ground_rot2_forward_0_1,rough_ground,90,0,0.07
rough_ground_rot2_forward_0_2,rough_ground,90,1,0.95
rough_ground_rot2_forward_1_0,rough_ground,90,1,0.95
rough_ground_rot2_reverse_0_0,rough_ground,270,1,0.95
rough_ground_rot2_reverse_0_1,rough_ground,270,0,0.07
rough_ground_rot2_reverse_0_2,rough_ground,270,1,0.95
rough_ground_rot2_reverse_1_0,rough_ground,270,1,0.95
rough_ground_rot3_forward_0_0,rough_ground,135,1,0.95
rough_ground_rot3_forward_0_1,rough_ground,135,0,0.07
rough_ground_rot3_forward_0_2,rough_ground,135,1,0.95
rough_ground_rot3_forward_1_0,rough_ground,135,1,0.95
rough_ground_rot3_reverse_0_0,rough_ground,315,1,0.95
rough_ground_rot3_reverse_0_1,rough_ground,315,0,0.07
rough_ground_rot3_reverse_0_2,rough_ground,315,1,0.95
rough_ground_rot3_reverse_1_0,rough_ground,315,1,0.95
rough_ground_rot4_forward_0_0,rough_ground,180,1,0.95
rough_ground_rot4_forward_0_1,rough_ground,180,0,0.07
rough_ground_rot4_forward_0_2,rough_ground,180,1,0.95
rough_ground_rot4_forward_1_0,rough_ground,180,1,0.95
rough_ground_rot4_reverse_0_0,rough_ground,0,1,0.95
rough_ground_rot4_reverse_0_1,rough_ground,0,0,0.07
rough_ground_rot4_reverse_0_2,rough_ground,0,1,0.95
rough_ground_rot4_reverse_1_0,rough_ground,0,1,0.95
rough_ground_rot5_forward_0_0,rough_ground,225,1,0.95
rough_ground_rot5_forward_0_1,rough_ground,225,0,0.07
rough_ground_rot5_forward_0_2,rough_ground,225,1,0.95
rough_ground_rot5_forward_1_0,rough_ground,225,1,0.95
rough_ground_rot5_reverse_0_0,rough_ground,45,1,0.95
rough_ground_rot5_reverse_0_1,rough_ground,45,0,0.07
rough_ground_rot5_reverse_0_2,rough_ground,45,1,0.95
rough_ground_rot5_reverse_1_0,rough_ground,45,1,0.95
rough_ground_rot6_forward_0_0,rough_ground,270,1,0.95
rough_ground_rot6_forward_0_1,rough_ground,270,0,0.07
rough_ground_rot6_forward_0_2,rough_ground,270,1,0.95
rough_ground_rot6_forward_1_0,rough_ground,270,1,0.95
rough_ground_rot6_reverse_0_0,rough_ground,90,1,0.95
rough_ground_rot6_reverse_0_1,rough_ground,90,0,0.07
rough_ground_rot6_reverse_0_2,rough_ground,90,1,0.95
rough_ground_rot6_reverse_1_0,rough_ground,90,1,0.95
rough_ground_rot7_forward_0_0,rough_ground,315,1,0.95
rough_ground_rot7_forward_0_1,rough_ground,315,0,0.07
rough_ground_rot7_forward_0_2,rough_ground,315,1,0.95
rough_ground_rot7_forward_1_0,rough_ground,315,1,0.95
rough_ground_rot7_reverse_0_0,rough_ground,135,1,0.95
rough_ground_rot7_reverse_0_1,rough_ground,135,0,0.07
rough_ground_rot7_reverse_0_2,rough_ground,135,1,0.95
rough_ground_rot7_reverse_1_0,rough_ground,135,1,0.95
unknown_patch_rot0_forward_0_0,unknown_patch,0,1,0.95
unknown_patch_rot0_forward_0_1,unknown_patch,0,1,
unknown_patch_rot0_forward_0_2,unknown_patch,0,1,0.95
unknown_patch_rot0_forward_1_0,unknown_patch,0,1,0.95
unknown_patch_rot0_reverse_0_0,unknown_patch,180,1,0.95
unknown_patch_rot0_reverse_0_1,unknown_patch,180,1,
unknown_patch_rot0_reverse_0_2,unknown_patch,180,1,0.95
unknown_patch_rot0_reverse_1_0,unknown_patch,180,1,0.95
unknown_patch_rot1_forward_0_0,unknown_patch,45,1,0.95
unknown_patch_rot1_forward_0_1,unknown_patch,45,1,
unknown_patch_rot1_forward_0_2,unknown_patch,45,1,0.95
unknown_patch_rot1_forward_1_0,unknown_patch,45,1,0.95
unknown_patch_rot1_reverse_0_0,unknown_patch,225,1,0.95
unknown_patch_rot1_reverse_0_1,unknown_patch,225,1,
unknown_patch_rot1_reverse_0_2,unknown_patch,225,1,0.95
unknown_patch_rot1_reverse_1_0,unknown_patch,225,1,0.95
unknown_patch_rot2_forward_0_0,unknown_patch,90,1,0.95
unknown_patch_rot2_forward_0_1,unknown_patch,90,1,
unknown_patch_rot2_forward_0_2,unknown_patch,90,1,0.95
unknown_patch_rot2_forward_1_0,unknown_patch,90,1,0.95
unknown_patch_rot2_reverse_0_0,unknown_patch,270,1,0.95
unknown_patch_rot2_reverse_0_1,unknown_patch,270,1,
unknown_patch_rot2_reverse_0_2,unknown_patch,270,1,0.95
unknown_patch_rot2_reverse_1_0,unknown_patch,270,1,0.95
unknown_patch_rot3_forward_0_0,unknown_patch,135,1,0.95
unknown_patch_rot3_forward_0_1,unknown_patch,135,1,
unknown_patch_rot3_forward_0_2,unknown_patch,135,1,0.95
unknown_patch_rot3_forward_1_0,unknown_patch,135,1,0.95
unknown_patch_rot3_reverse_0_0,unknown_patch,315,1,0.95
unknown_patch_rot3_reverse_0_1,unknown_patch,315,1,
unknown_patch_rot3_reverse_0_2,unknown_patch,315,1,0.95
unknown_patch_rot3_reverse_1_0,unknown_patch,315,1,0.95
unknown_patch_rot4_forward_0_0,unknown_patch,180,1,0.95
unknown_patch_rot4_forward_0_1,unknown_patch,180,1,
unknown_patch_rot4_forward_0_2,unknown_patch,180,1,0.95
unknown_patch_rot4_forward_1_0,unknown_patch,180,1,0.95
unknown_patch_rot4_reverse_0_0,unknown_patch,0,1,0.95
unknown_patch_rot4_reverse_0_1,unknown_patch,0,1,
unknown_patch_rot4_reverse_0_2,unknown_patch,0,1,0.95
unknown_patch_rot4_reverse_1_0,unknown_patch,0,1,0.95
unknown_patch_rot5_forward_0_0,unknown_patch,225,1,0.95
unknown_patch_rot5_forward_0_1,unknown_patch,225,1,
unknown_patch_rot5_forward_0_2,unknown_patch,225,1,0.95
unknown_patch_rot5_forward_1_0,unknown_patch,225,1,0.95
unknown_patch_rot5_reverse_0_0,unknown_patch,45,1,0.95
unknown_patch_rot5_reverse_0_1,unknown_patch,45,1,
unknown_patch_rot5_reverse_0_2,unknown_patch,45,1,0.95
unknown_patch_rot5_reverse_1_0,unknown_patch,45,1,0.95
unknown_patch_rot6_forward_0_0,unknown_patch,270,1,0.95
unknown_patch_rot6_forward_0_1,unknown_patch,270,1,
unknown_patch_rot6_forward_0_2,unknown_patch,270,1,0.95
unknown_patch_rot6_forward_1_0,unknown_patch,270,1,0.95
unknown_patch_rot6_reverse_0_0,unknown_patch,90,1,0.95
unknown_patch_rot6_reverse_0_1,unknown_patch,90,1,
unknown_patch_rot6_reverse_0_2,unknown_patch,90,1,0.95
unknown_patch_rot6_reverse_1_0,unknown_patch,90,1,0.95
unknown_patch_rot7_forward_0_0,unknown_patch,315,1,0.95
unknown_patch_rot7_forward_0_1,unknown_patch,315,1,
unknown_patch_rot7_forward_0_2,unknown_patch,315,1,0.95
unknown_patch_rot7_forward_1_0,unknown_patch,315,1,0.95
unknown_patch_rot7_reverse_0_0,unknown_patch,135,1,0.95
unknown_patch_rot7_reverse_0_1,unknown_patch,135,1,
unknown_patch_rot7_reverse_0_2,unknown_patch,135,1,0.95
unknown_patch_rot7_reverse_1_0,unknown_patch,135,1,0.95
danger_only_rot0_forward_0_0,danger_only,0,1,0.95
danger_only_rot0_forward_0_1,danger_only,0,0,0.01
danger_only_rot0_forward_0_2,danger_only,0,1,0.95
danger_only_rot0_reverse_0_0,danger_only,180,1,0.95
danger_only_rot0_reverse_0_1,danger_only,180,0,0.01
danger_only_rot0_reverse_0_2,danger_only,180,1,0.95
danger_only_rot1_forward_0_0,danger_only,45,1,0.95
danger_only_rot1_forward_0_1,danger_only,45,0,0.01
danger_only_rot1_forward_0_2,danger_only,45,1,0.95
danger_only_rot1_reverse_0_0,danger_only,225,1,0.95
danger_only_rot1_reverse_0_1,danger_only,225,0,0.01
danger_only_rot1_reverse_0_2,danger_only,225,1,0.95
danger_only_rot2_forward_0_0,danger_only,90,1,0.95
danger_only_rot2_forward_0_1,danger_only,90,0,0.01
danger_only_rot2_forward_0_2,danger_only,90,1,0.95
danger_only_rot2_reverse_0_0,danger_only,270,1,0.95
danger_only_rot2_reverse_0_1,danger_only,270,0,0.01
danger_only_rot2_reverse_0_2,danger_only,270,1,0.95
danger_only_rot3_forward_0_0,danger_only,135,1,0.95
danger_only_rot3_forward_0_1,danger_only,135,0,0.01
danger_only_rot3_forward_0_2,danger_only,135,1,0.95
danger_only_rot3_reverse_0_0,danger_only,315,1,0.95
danger_only_rot3_reverse_0_1,danger_only,315,0,0.01
danger_only_rot3_reverse_0_2,danger_only,315,1,0.95
danger_only_rot4_forward_0_0,danger_only,180,1,0.95
danger_only_rot4_forward_0_1,danger_only,180,0,0.01
danger_only_rot4_forward_0_2,danger_only,180,1,0.95
danger_only_rot4_reverse_0_0,danger_only,0,1,0.95
danger_only_rot4_reverse_0_1,danger_only,0,0,0.01
danger_only_rot4_reverse_0_2,danger_only,0,1,0.95
danger_only_rot5_forward_0_0,danger_only,225,1,0.95
danger_only_rot5_forward_0_1,danger_only,225,0,0.01
danger_only_rot5_forward_0_2,danger_only,225,1,0.95
danger_only_rot5_reverse_0_0,danger_only,45,1,0.95
danger_only_rot5_reverse_0_1,danger_only,45,0,0.01
danger_only_rot5_reverse_0_2,danger_only,45,1,0.95
danger_only_rot6_forward_0_0,danger_only,270,1,0.95
danger_only_rot6_forward_0_1,danger_only,270,0,0.01
danger_only_rot6_forward_0_2,danger_only,270,1,0.95
danger_only_rot6_reverse_0_0,danger_only,90,1,0.95
danger_only_rot6_reverse_0_1,danger_only,90,0,0.01
danger_only_rot6_reverse_0_2,danger_only,90,1,0.95
danger_only_rot7_forward_0_0,danger_only,315,1,0.95
danger_only_rot7_forward_0_1,danger_only,315,0,0.01
danger_only_rot7_forward_0_2,danger_only,315,1,0.95
danger_only_rot7_reverse_0_0,danger_only,135,1,0.95
danger_only_rot7_reverse_0_1,danger_only,135,0,0.01
danger_only_rot7_reverse_0_2,danger_only,135,1,0.95
false_safe_input_rot0_forward_0_0,false_safe_input,0,1,0.95
false_safe_input_rot0_forward_0_1,false_safe_input,0,0,0.95
false_safe_input_rot0_forward_0_2,false_safe_input,0,1,0.95
false_safe_input_rot0_forward_1_0,false_safe_input,0,1,0.95
false_safe_input_rot0_reverse_0_0,false_safe_input,180,1,0.95
false_safe_input_rot0_reverse_0_1,false_safe_input,180,0,0.95
false_safe_input_rot0_reverse_0_2,false_safe_input,180,1,0.95
false_safe_input_rot0_reverse_1_0,false_safe_input,180,1,0.95
false_safe_input_rot1_forward_0_0,false_safe_input,45,1,0.95
false_safe_input_rot1_forward_0_1,false_safe_input,45,0,0.95
false_safe_input_rot1_forward_0_2,false_safe_input,45,1,0.95
false_safe_input_rot1_forward_1_0,false_safe_input,45,1,0.95
false_safe_input_rot1_reverse_0_0,false_safe_input,225,1,0.95
false_safe_input_rot1_reverse_0_1,false_safe_input,225,0,0.95
false_safe_input_rot1_reverse_0_2,false_safe_input,225,1,0.95
false_safe_input_rot1_reverse_1_0,false_safe_input,225,1,0.95
false_safe_input_rot2_forward_0_0,false_safe_input,90,1,0.95
false_safe_input_rot2_forward_0_1,false_safe_input,90,0,0.95
